Date,adj_index_level
2021-06-30,1000.0
2021-07-01,1007.9596901514544
2021-07-02,1011.7379721667139
2021-07-06,1001.3556872375975
2021-07-07,1005.2437663600979
2021-07-08,996.9005699280796
2021-07-09,1010.9986408475145
2021-07-12,1014.2327535754891
2021-07-13,1002.3619232755675
2021-07-14,999.801551963224
2021-07-15,998.8300648882282
2021-07-16,988.7644092450944
2021-07-19,971.734017240374
2021-07-20,988.8148922927834
2021-07-21,998.4252834131081
2021-07-22,994.7392663052458
2021-07-23,1003.1472860390725
2021-07-26,1006.2149494948369
2021-07-27,1004.5112395749401
2021-07-28,1003.880865336501
2021-07-29,1010.1907930822227
2021-07-30,1012.4047873405666
2021-08-02,1008.2841023976498
2021-08-03,1013.774719230136
2021-08-04,1002.5943865329542
2021-08-05,1011.318285056941
2021-08-06,1019.4407146258197
2021-08-09,1015.7254305229562
2021-08-10,1018.8102502905128
2021-08-11,1026.0074065348372
2021-08-12,1025.309085772403
2021-08-13,1025.9290756281546
2021-08-16,1024.8559603255987
2021-08-17,1019.7612507943763
2021-08-18,1009.9449333796014
2021-08-19,1004.600474749198
2021-08-20,1011.6606510520712
2021-08-23,1018.2697985562994
2021-08-24,1021.51991668028
2021-08-25,1025.5263350937212
2021-08-26,1017.5919363356787
2021-08-27,1029.6816159270245
2021-08-30,1028.8780687448593
2021-08-31,1032.245937935383
2021-09-01,1035.9698869287713
2021-09-02,1043.3758685184866
2021-09-03,1040.4078335797005
2021-09-07,1029.3371863790458
2021-09-08,1028.3754458735598
2021-09-09,1024.3108213770358
2021-09-10,1017.4376469813594
2021-09-13,1021.6831440029498
2021-09-14,996.4993198272746
2021-09-15,1009.5674684446403
2021-09-16,1007.5918950505762
2021-09-17,998.8519151647422
2021-09-20,984.9033746727636
2021-09-21,979.6961996049214
2021-09-22,987.7692584063011
2021-09-23,997.871943372101
2021-09-24,998.4632517564888
2021-09-27,1002.4396415683826
2021-09-28,983.1647438627642
2021-09-29,987.9176518490243
2021-09-30,976.4877638311866
2021-10-01,991.144316810625
2021-10-04,982.6810080941902
2021-10-05,988.9464704608117
2021-10-06,989.9096148897531
2021-10-07,999.7618506976123
2021-10-08,984.2093477530115
2021-10-11,970.7956205505923
2021-10-12,972.3866279126696
2021-10-13,977.5980300951155
2021-10-14,996.7418783986639
2021-10-15,999.1183841871583
2021-10-18,996.0212018080593
2021-10-19,1006.5702198827125
2021-10-20,1014.5073159586858
2021-10-21,1014.3190793383126
2021-10-22,1015.3351569105473
2021-10-25,1015.9083343645709
2021-10-26,1012.5317192718957
2021-10-27,997.1014025292568
2021-10-28,1004.4247070236279
2021-10-29,1002.0981379301235
2021-11-01,1011.5953040978338
2021-11-02,1018.8081565245632
2021-11-03,1025.746347154573
2021-11-04,1019.210177844877
2021-11-05,1029.1738703984079
2021-11-08,1030.5751174243806
2021-11-09,1029.6613934568197
2021-11-10,1024.529624084068
2021-11-11,1023.1882545002244
2021-11-12,1023.4429960332079
2021-11-15,1022.9804129005704
2021-11-16,1024.2926001489775
2021-11-17,1020.3102986782245
2021-11-18,1011.5314054606619
2021-11-19,1003.7401634527012
2021-11-22,1001.5908004553293
2021-11-23,1004.6906126646749
2021-11-24,1003.3842644779054
2021-11-26,980.1815748600602
2021-11-29,985.4966422875926
2021-11-30,960.7654250499627
2021-12-01,944.5791411683641
2021-12-02,974.1113282345107
2021-12-03,969.6384313356879
2021-12-06,982.9177121888627
2021-12-07,983.1103001755105
2021-12-08,988.3718307405212
2021-12-09,976.8141626656812
2021-12-10,982.2925810906852
2021-12-13,973.345740917062
2021-12-14,973.8366343813782
2021-12-15,979.9174798664138
2021-12-16,981.6184923406794
2021-12-17,978.0055720426693
2021-12-20,962.7817377633471
2021-12-21,981.2154251658569
2021-12-22,988.893862799685
2021-12-23,998.8001521578591
2021-12-27,1011.6479482517783
2021-12-28,1011.8395124307489
2021-12-29,1015.085557578222
2021-12-30,1014.1111834876684
2021-12-31,1013.8892741484904
2022-01-03,1014.2053571385001
2022-01-04,1017.5762354138856
2022-01-05,1005.437386855434
2022-01-06,1007.4054179381914
2022-01-07,1001.3861398676366
2022-01-10,1001.2112743816415
2022-01-11,1010.6891843556646
2022-01-12,1011.7879607963057
2022-01-13,1006.2954297177324
2022-01-14,1005.6262758786238
2022-01-18,982.4069605622665
2022-01-19,974.2638266662185
2022-01-20,966.1774236547568
2022-01-21,950.4340589992589
2022-01-24,958.1409942642803
2022-01-25,946.9420221687038
2022-01-26,936.9541931900617
2022-01-27,929.4870471702563
2022-01-28,948.9288436187303
2022-01-31,961.3473744397686
2022-02-01,967.8472335837505
2022-02-02,971.4655027382057
2022-02-03,959.1443252881796
2022-02-04,952.8611228939426
2022-02-07,950.0749625782552
2022-02-08,960.6197684437348
2022-02-09,975.3174934664077
2022-02-10,962.2025871168842
2022-02-11,945.0404459832422
2022-02-14,938.2828105481244
2022-02-15,955.5215615373332
2022-02-16,959.3558555259169
2022-02-17,940.3646967198965
2022-02-18,935.3304815807317
2022-02-22,931.5326648726258
2022-02-23,912.0112945226005
2022-02-24,918.1578719843176
2022-02-25,942.5158873822146
2022-02-28,920.2630590341068
2022-03-01,901.6415588493505
2022-03-02,920.3320913401458
2022-03-03,920.3847386627017
2022-03-04,912.6023060147603
2022-03-07,888.1454569611742
2022-03-08,884.4161135531863
2022-03-09,901.0541871737545
2022-03-10,896.9891806169389
2022-03-11,886.1964499502725
2022-03-14,884.3017472171802
2022-03-15,898.1812215275953
2022-03-16,918.2557849260892
2022-03-17,926.4526459007271
